Subtraction Basics,,,,,,,,One-Digit Subtraction,,,,Subtraction 10-19,,,,Subtraction 1-19 Word Problems,,,
,,,,,,,,,,,,,,,,,,,
,Lesson 1,,Lesson 2,,Lesson 3,,Lesson 4,,Lesson 1,,Lesson 2,,Lesson 1,,Lesson 2,,Lesson 1,,Lesson 2
,Basic Subtraction,,Number Lines,,10 Frames,,14 - 6 Lesson,,Four Objects,,Lemons: Addition then Subtraction,,Muffins,,Ways of Subtraction,,Superheroes,,Gorillas & Cookies
,,,,,,,,,,,,,,,,,,,
,Activity 1,,Activity 2,,Activity 3,,Activity 4,,Activity 1,,Activity 2,,Activity 1,,Activity 2,,Activity 1,,Activity 2
,Subtract within 20,,Subtract up to 18,,Subtract  within 20 visually,,Subtract 1 digit from 2 digit numbers,,Subtract up to 9,,Subtract single digits,,Subtract within 20 ,,Subtract within 20 Visually,,Subtraction Word Problems,,Subtraction Sentences
,,,,,,,,,,,,,,,,,,,
,12 Problems,,12 Problems,,12 Problems,,12 Problems,,12 Problems,,12 Problems,,12 Problems,,12 Problems,,12 Problems,,12 Problems
1.1,7 - 5,1.1,6 - 4,1.1,9 - 2,1.1,4 - 3,1.1,6 - 3,1.1,9 - 7,2.1,16 - 7,2.1,14 - 6,1.2,Jessica had 9 dolls and lost 4. How many does she have left?,1.2,Jamie had 7 rings but lost 5. How many does she have left?
1.1,8 - 3,1.1,4 - 3,1.1,5 - 3,1.1,8 - 6,1.1,9 - 5,1.1,6 - 4,2.1,11 - 8,2.1,12 - 9,1.2,Emilia had 8 toys and gave 3 to her friends. How many does she have left?,1.2,Joshua had 8 pairs of shoes but threw away 3 pairs. How many pairs of shoes does he have now?
1.1,9 - 2,1.1,8 - 5,1.1,7 - 4,1.1,9 - 4,1.1,4 - 3,1.1,7 - 4,2.1,15 - 7,2.1,15 - 7,1.2,Jake had 7 cards and lost 2. How many does he have left?,1.2,Sam had 8 medals but lost 5. How many does he have now?
1.2,Liam has 5 apples but loses 2 of them. How many does he has left?,1.2,Noah had 7 toy cars but lost 3. How many does he have now?,1.2,"Hannah could play 7 piano songs, but forgot how to play 4. How many can she play now?",1.2,Grace had 8 rings but gave 3 to her sister. How many does she have now?,1.1,7 - 4,1.1,8 - 5,2.1,12 - 9,2.1,13 - 6,1.2,Alice had 9 beads and lost 4. How many does she have left?,1.2,Laura had 6 necklaces and gave 4 to her friends. How many does she have now
1.2,Olivia was holding 8 paper clips but gave 5 to her friend. How many does she have left?,1.2,Mia had 7 barbies but lost 3. How many does she have now?,1.2,Sophia had 5 pencils but lost 2. How many does she have now?,1.2,Lily had 6 toy space ships but lost 4. How many does she have now?,1.1,9 - 4,1.1,5 - 2,2.1,14 - 7,2.1,17 - 8,1.2,Evan had 8 pins and lost 3. How many does he have left?,1.2,Isabella had 9 books and gave 5 away. How many does she have left?
1.2,Noah had 4 action figures and gave 3 to his brother. How many does he have left?,1.2,Anna had 9 rocks but gave 3 to her friend. How many does she have now?,1.2,Diego had 7 erasers but lost 4. How many does he have now?,1.2,Finn had 6 toy boats and gave 3 to his friend. How many does he have now?,1.1,4 - 2,1.1,7 - 3,2.1,17 - 8,2.1,19 - 9,1.2,Aidan had 6 toy planes and gave 2 to his friend. How many does he have left?,1.2,Eva had 7 beads and lost 2. How many does she have left?
2.1,15 - 7,2.1,17 - 9,2.1,13 - 6,2.1,17 - 8,1.2,Alex had 5 rulers but lost 3. How many does he have left?,1.2,"Isabelle saw 7 backpacks beside the door, and her classmates took 3. How many does she see now?",2.2,Erin had 14 books but gave away 5. How many does she have left?,2.2,Molly had 12 jump ropes but gave 7 to her friends. How many does she have left?,2.2,Maria had 14 pieces of candy and gave 8 to her friends. How many does she have left?,2.2,Holly had 17 cards and gave 9 to her friends. How many does she have now?
